Date,Open,High,Low,Close,Volume,Currency
11/9/18,88.30269623,89.56569672,50.68099976,68.75080109,2585660,USD
11/10/18,70.26550293,98.51339722,61.19290161,87.05580139,4748070,USD
11/11/18,87.69589996,125.1119995,83.15429688,113.4670029,8902820,USD
11/12/18,116.4550018,123.5559998,104.4499969,112.064003,10779600,USD
11/13/18,109.9029999,208.4019928,109.2990036,208.4019928,20708000,USD
11/14/18,205.7559967,243.7850037,155.3820038,174.8079987,36795500,USD
11/15/18,176.2810059,179.5140076,70.96920013,93.70279694,40105900,USD
11/16/18,94.46510315,134.2929993,76.79489899,122.9670029,180605000,USD
11/17/18,123.2919998,143.0279999,122.1409988,130.4799957,200816000,USD
11/18/18,130.2929993,130.7489929,105.288002,106.223999,83486800,USD
11/19/18,105.836998,107.711998,69.65869904,72.11340332,97310700,USD
11/20/18,71.64859772,72.96849823,48.37979889,50.66189957,124675000,USD
11/21/18,51.12149811,54.24269867,48.69369888,50.74689865,56414700,USD
11/22/18,50.71829987,51.5469017,42.75130081,42.75130081,32667900,USD
11/23/18,42.50279999,59.46699905,36.86959839,54.02980042,118574000,USD
11/24/18,52.82109833,68.25450134,50.69639969,58.50220108,172732000,USD
11/25/18,60.28419876,91.54329681,57.31819916,87.38359833,379158000,USD
11/26/18,88.7378006,125.5339966,87.91739655,111.6969986,589274000,USD
11/27/18,113.4199982,121.8690033,84.95310211,91.94450378,296211000,USD
11/28/18,90.61650085,103.8850021,80.94989777,97.93589783,308722000,USD
11/29/18,97.9282074,100.3046722,91.8373642,98.06893158,130600465,USD
11/30/18,97.28663635,106.3490982,92.84005737,95.2827301,166060949,USD
12/1/18,95.11039734,96.63200378,87.84997559,93.53663635,75286999,USD
12/2/18,93.00228119,103.3630905,92.59972382,100.3718491,108434556,USD
12/3/18,99.87864685,100.193924,91.22938538,94.4617157,79018303,USD
12/4/18,94.32264709,94.74893951,89.91616058,90.18128967,56754945,USD
12/5/18,90.21820068,93.64505768,84.5787735,86.31101227,75407123,USD
12/6/18,86.16136169,110.1368713,86.16136169,103.6924362,194059088,USD
12/7/18,103.5159454,113.6686478,94.82354736,103.878685,217760983,USD
12/8/18,103.7935715,104.0845184,96.35329437,98.68031311,76137934,USD
12/9/18,98.42055511,99.71310425,93.23067474,97.41510773,72826742,USD
12/10/18,97.36524963,101.497673,95.23220062,95.31970978,63688727,USD
12/11/18,95.33892822,95.33892822,87.25813293,90.24471283,63771772,USD
12/12/18,90.01745605,92.57950592,88.04312897,88.84349823,42144081,USD
12/13/18,88.73006439,88.87541962,77.53310394,78.37155914,58473172,USD
12/14/18,78.37265015,81.28231049,69.94432068,70.27165222,66921657,USD
12/15/18,69.98171997,73.15150452,64.5195694,68.13880157,61398931,USD
12/16/18,67.92063904,79.28074646,67.62187195,77.34347534,95335466,USD
12/17/18,78.52210236,82.40558624,75.26751709,81.69871521,106775615,USD
12/18/18,81.75282288,85.11013031,77.32386017,84.61183929,112996794,USD
12/19/18,84.4066391,96.96793365,82.73616791,86.51200867,188633838,USD
12/20/18,85.49822235,119.5156631,85.11631775,112.0300293,424270497,USD
12/21/18,110.216713,134.5878754,103.0937119,108.4186401,492080721,USD
12/22/18,109.3313675,114.7333221,102.4944305,109.0893784,207087564,USD
12/23/18,108.984581,113.8537445,105.307312,106.9712219,168248047,USD
12/24/18,107.402359,113.2511139,101.478157,102.4622192,168359714,USD
12/25/18,102.5511932,102.5511932,90.28601074,93.4549942,146914405,USD
12/26/18,93.36867523,98.88749695,91.46649933,94.51141357,118701099,USD
12/27/18,94.79542542,98.44731903,84.59296417,84.87197876,92318856,USD
12/28/18,85.27572632,94.49727631,82.70030212,93.63550568,113487961,USD
12/29/18,94.0981369,94.0981369,89.4278183,89.4278183,75204687,USD
12/30/18,89.57188416,90.21086884,87.79936981,88.56031799,57931119,USD
12/31/18,88.75263214,88.75263214,84.89911652,84.95630646,52690384,USD
1/1/19,84.78556824,95.24066162,84.69229126,92.14231873,108083721,USD
1/2/19,92.54141998,95.78713226,90.32285309,94.88376617,94042085,USD
1/3/19,95.23699188,96.27689362,87.35235596,88.64332581,75308623,USD
1/4/19,88.27017212,90.07243347,85.7352066,87.64524841,66629980,USD
1/5/19,87.4815979,91.80607605,86.98387909,88.52013397,66121035,USD
1/6/19,88.42558289,91.67263031,87.23430634,90.3757019,57596543,USD
1/7/19,90.16503143,90.53701782,88.01998138,88.78430939,44587533,USD
